type,oc_dt,oc_p1
住宅竊盜,1090115,新竹縣竹東鎮
住宅竊盜,1090115,新北市新店區
住宅竊盜,1090116,基隆市安樂區
住宅竊盜,1090116,屏東縣屏東市
住宅竊盜,1090116,新北市三重區
住宅竊盜,1090116,花蓮縣花蓮市
住宅竊盜,1090116,台中市太平區
住宅竊盜,1090117,新北市板橋區
住宅竊盜,1090117,金門縣金城鎮
住宅竊盜,1090117,桃園市新屋區
住宅竊盜,1090117,新北市板橋區
住宅竊盜,1090117,嘉義縣竹崎鄉
住宅竊盜,1090118,新北市新店區
住宅竊盜,1090118,新北市永和區
住宅竊盜,1090119,連江縣北竿鄉
住宅竊盜,1090119,彰化縣福興鄉
住宅竊盜,1090119,澎湖縣馬公市
住宅竊盜,1090119,新北市樹林區
住宅竊盜,1090119,基隆市七堵區
住宅竊盜,1090120,台北市內湖區
住宅竊盜,1090120,新北市三重區
住宅竊盜,1090120,雲林縣斗六市
住宅竊盜,1090120,台南市麻豆區
住宅竊盜,1090120,基隆市中山區
住宅竊盜,1090120,台南市玉井區
住宅竊盜,1090121,台南市新營區
住宅竊盜,1090121,高雄市茄萣區
住宅竊盜,1090121,台北市北投區
住宅竊盜,1090121,台南市歸仁區
住宅竊盜,1090122,台南市關廟區
住宅竊盜,1090122,彰化縣大城鄉
住宅竊盜,1090122,苗栗縣後龍鎮
住宅竊盜,1090123,台北市南港區
住宅竊盜,1090123,新北市三重區
住宅竊盜,1090123,澎湖縣馬公市
住宅竊盜,1090124,台北市北投區
住宅竊盜,1090124,台北市南港區
住宅竊盜,1090124,高雄市鳳山區
住宅竊盜,1090124,雲林縣斗六市
住宅竊盜,1090124,雲林縣虎尾鎮
住宅竊盜,1090125,基隆市仁愛區
住宅竊盜,1090125,新北市中和區
住宅竊盜,1090125,南投縣埔里鎮
住宅竊盜,1090125,桃園市桃園區
住宅竊盜,1090125,台北市南港區
住宅竊盜,1090125,宜蘭縣員山鄉
住宅竊盜,1090126,桃園市龜山區
住宅竊盜,1090126,基隆市仁愛區
住宅竊盜,1090126,新北市板橋區
住宅竊盜,1090126,新北市樹林區
住宅竊盜,1090126,台北市信義區
住宅竊盜,1090127,新北市三峽區
住宅竊盜,1090127,台南市西港區
住宅竊盜,1090127,新北市三重區
住宅竊盜,1090128,新北市中和區
住宅竊盜,1090128,新北市蘆洲區
住宅竊盜,1090128,台北市文山區
住宅竊盜,1090129,台北市內湖區
住宅竊盜,1090129,台中市南區
住宅竊盜,1090129,台北市文山區
住宅竊盜,1090130,台北市南港區
住宅竊盜,1090130,台北市內湖區
住宅竊盜,1090130,台北市南港區
住宅竊盜,1090131,南投縣南投市
住宅竊盜,1090201,新北市三重區
住宅竊盜,1090201,花蓮縣吉安鄉
住宅竊盜,1090201,台北市萬華區
住宅竊盜,1090201,新北市新店區
住宅竊盜,1090201,花蓮縣花蓮市
住宅竊盜,1090201,雲林縣西螺鎮
住宅竊盜,1090201,南投縣草屯鎮
住宅竊盜,1090202,台南市永康區
住宅竊盜,1090202,台中市太平區
住宅竊盜,1090202,雲林縣元長鄉
住宅竊盜,1090202,新北市樹林區
住宅竊盜,1090202,屏東縣新園鄉
住宅竊盜,1090203,新北市中和區
住宅竊盜,1090203,高雄市湖內區
住宅竊盜,1090203,台北市大安區
住宅竊盜,1090204,台北市中正區
住宅竊盜,1090205,台中市東勢區
住宅竊盜,1090205,台中市西屯區
住宅竊盜,1090205,台北市信義區
住宅竊盜,1090206,新北市三重區
住宅竊盜,1090206,台南市北區
住宅竊盜,1090206,新北市新莊區
住宅竊盜,1090206,南投縣南投市
住宅竊盜,1090207,新竹市東區
住宅竊盜,1090207,台南市中西區
住宅竊盜,1090207,雲林縣四湖鄉
住宅竊盜,1090207,雲林縣斗六市
住宅竊盜,1090208,新北市三重區
住宅竊盜,1090208,基隆市暖暖區
住宅竊盜,1090208,基隆市安樂區
住宅竊盜,1090208,新北市三重區
住宅竊盜,1090208,台中市北區
住宅竊盜,1090209,台北市北投區
住宅竊盜,1090209,基隆市信義區
住宅竊盜,1090210,新竹縣關西鎮
住宅竊盜,1090210,雲林縣虎尾鎮
住宅竊盜,1090210,澎湖縣馬公市
住宅竊盜,1090210,台南市安平區
住宅竊盜,1090211,台北市士林區
住宅竊盜,1090211,新北市土城區
住宅竊盜,1090211,彰化縣福興鄉
住宅竊盜,1090212,台中市北屯區
住宅竊盜,1090212,新北市三峽區
住宅竊盜,1090212,台北市萬華區
住宅竊盜,1090212,台北市松山區
住宅竊盜,1090212,新北市三重區
住宅竊盜,1090212,台北市士林區
住宅竊盜,1090212,新北市三重區
住宅竊盜,1090212,台北市中山區
住宅竊盜,1090213,台北市士林區
住宅竊盜,1090213,台北市文山區
住宅竊盜,1090213,苗栗縣造橋鄉
住宅竊盜,1090213,新北市板橋區
住宅竊盜,1090213,基隆市仁愛區
住宅竊盜,1090213,新北市永和區
住宅竊盜,1090213,新北市蘆洲區
住宅竊盜,1090213,台南市東山區
住宅竊盜,1090213,彰化縣彰化市
住宅竊盜,1090214,新北市八里區
住宅竊盜,1090214,新北市樹林區
住宅竊盜,1090214,苗栗縣造橋鄉
住宅竊盜,1090214,台北市士林區
住宅竊盜,1090214,台北市萬華區
住宅竊盜,1090214,苗栗縣竹南鎮
住宅竊盜,1090214,南投縣草屯鎮
住宅竊盜,1090215,屏東縣崁頂鄉
住宅竊盜,1090215,台北市士林區
住宅竊盜,1090215,台北市中正區
住宅竊盜,1090216,台南市後壁區
住宅竊盜,1090216,南投縣埔里鎮
住宅竊盜,1090216,雲林縣虎尾鎮
住宅竊盜,1090216,台北市北投區
住宅竊盜,1090216,基隆市仁愛區
住宅竊盜,1090217,桃園市龜山區
住宅竊盜,1090217,新北市板橋區
住宅竊盜,1090217,台北市萬華區
住宅竊盜,1090217,台中市東區
住宅竊盜,1090217,桃園市大溪區
住宅竊盜,1090218,台南市永康區
住宅竊盜,1090218,基隆市仁愛區
住宅竊盜,1090219,新竹市香山區
住宅竊盜,1090219,新北市蘆洲區
住宅竊盜,1090219,新北市土城區
住宅竊盜,1090220,台北市大同區
住宅竊盜,1090220,雲林縣土庫鎮
住宅竊盜,1090220,桃園市龜山區
住宅竊盜,1090221,南投縣埔里鎮
住宅竊盜,1090221,新北市三重區
住宅竊盜,1090221,高雄市前鎮區
住宅竊盜,1090222,台南市仁德區
住宅竊盜,1090222,雲林縣斗六市
住宅竊盜,1090223,南投縣埔里鎮
住宅竊盜,1090223,台南市麻豆區
住宅竊盜,1090223,台北市中正區
住宅竊盜,1090224,雲林縣虎尾鎮
住宅竊盜,1090224,南投縣草屯鎮
住宅竊盜,1090224,台北市萬華區
住宅竊盜,1090225,台北市士林區
住宅竊盜,1090225,新北市汐止區
住宅竊盜,1090226,新北市蘆洲區
住宅竊盜,1090226,屏東縣鹽埔鄉
住宅竊盜,1090227,台北市內湖區
住宅竊盜,1090228,台北市北投區
住宅竊盜,1090228,南投縣埔里鎮
住宅竊盜,1090229,花蓮縣吉安鄉
住宅竊盜,1090301,新北市三重區
住宅竊盜,1090301,台北市信義區
住宅竊盜,1090302,高雄市三民區
住宅竊盜,1090302,澎湖縣西嶼鄉
住宅竊盜,1090302,新北市新店區
住宅竊盜,1090303,雲林縣土庫鎮
住宅竊盜,1090303,基隆市中山區
住宅竊盜,1090304,新北市新店區
住宅竊盜,1090304,南投縣南投市
住宅竊盜,1090304,雲林縣元長鄉
住宅竊盜,1090305,花蓮縣壽豐鄉
住宅竊盜,1090305,基隆市仁愛區
住宅竊盜,1090305,苗栗縣竹南鎮
住宅竊盜,1090305,彰化縣彰化市
住宅竊盜,1090307,台南市北區
住宅竊盜,1090307,澎湖縣馬公市
住宅竊盜,1090307,雲林縣虎尾鎮
住宅竊盜,1090308,南投縣草屯鎮
住宅竊盜,1090308,金門縣金城鎮
住宅竊盜,1090308,新北市萬里區
住宅竊盜,1090308,台北市中山區
住宅竊盜,1090309,台南市後壁區
住宅竊盜,1090309,金門縣金城鎮
住宅竊盜,1090309,台北市大安區
住宅竊盜,1090310,台北市松山區
住宅竊盜,1090310,台北市萬華區
住宅竊盜,1090310,台北市信義區
住宅竊盜,1090310,金門縣金城鎮
住宅竊盜,1090310,彰化縣秀水鄉
住宅竊盜,1090311,嘉義市西區
住宅竊盜,1090311,台南市北區
住宅竊盜,1090311,台南市安南區
住宅竊盜,1090312,基隆市七堵區
住宅竊盜,1090312,台北市中正區
住宅竊盜,1090312,台南市北區
住宅竊盜,1090313,南投縣草屯鎮
住宅竊盜,1090313,台北市大安區
住宅竊盜,1090314,台北市士林區
住宅竊盜,1090314,台北市中正區
住宅竊盜,1090314,台北市士林區
住宅竊盜,1090315,苗栗縣卓蘭鎮
住宅竊盜,1090316,台北市信義區
住宅竊盜,1090316,高雄市鳳山區
住宅竊盜,1090316,花蓮縣吉安鄉
住宅竊盜,1090316,屏東縣東港鎮
住宅竊盜,1090316,彰化縣線西鄉
住宅竊盜,1090317,花蓮縣吉安鄉
住宅竊盜,1090317,高雄市三民區
住宅竊盜,1090318,台北市大安區
住宅竊盜,1090319,台中市太平區
住宅竊盜,1090321,新竹縣湖口鄉
住宅竊盜,1090322,台北市南港區
住宅竊盜,1090322,台北市大安區
住宅竊盜,1090323,新北市中和區
住宅竊盜,1090323,南投縣竹山鎮
住宅竊盜,1090324,新北市三重區
住宅竊盜,1090324,新竹縣北埔鄉
住宅竊盜,1090325,新竹市東區
住宅竊盜,1090325,台北市大安區
住宅竊盜,1090327,金門縣金寧鄉
住宅竊盜,1090327,台北市萬華區
住宅竊盜,1090328,花蓮縣吉安鄉
住宅竊盜,1090329,台南市玉井區
住宅竊盜,1090329,台北市北投區
住宅竊盜,1090330,南投縣埔里鎮
住宅竊盜,1090331,台南市下營區
強制性交,1090101,嘉義市西區
強制性交,1090106,宜蘭縣羅東鎮
強制性交,1090107,外國
強制性交,1090111,南投縣竹山鎮
強制性交,1090115,高雄市鳳山區
強制性交,1090116,台北市中正區
強制性交,1090118,基隆市中山區
強制性交,1090128,雲林縣口湖鄉
強制性交,1090130,嘉義市西區
強制性交,1090202,高雄市楠梓區
強制性交,1090203,南投縣南投市
強制性交,1090208,高雄市小港區
強制性交,1090208,新竹縣湖口鄉
強制性交,1090208,金門縣金湖鎮
強制性交,1090209,新北市中和區
強制性交,1090215,高雄市旗山區
強制性交,1090222,台南市將軍區
強制性交,1090229,屏東縣萬巒鄉
強制性交,1090301,嘉義縣鹿草鄉
強制性交,1090302,彰化縣鹿港鎮
強制性交,1090306,宜蘭縣冬山鄉
強制性交,1090307,台中市梧棲區
強制性交,1090308,南投縣南投市
強制性交,1090309,嘉義市東區
強制性交,1090313,台南市新市區
強制性交,1090317,新北市永和區
強制性交,1090325,嘉義市西區
強盜,1090102,台中市北屯區
強盜,1090106,宜蘭縣羅東鎮
強盜,1090106,桃園市桃園區
強盜,1090110,台北市南港區
強盜,1090111,台中市中區
強盜,1090113,新北市三重區
強盜,1090117,新北市樹林區
強盜,1090118,高雄市大社區
強盜,1090120,桃園市中壢區
強盜,1090120,新竹市東區
強盜,1090121,台南市七股區
強盜,1090123,新北市三重區
強盜,1090128,宜蘭縣宜蘭市
強盜,1090130,台南市新化區
強盜,1090203,彰化縣大村鄉
強盜,1090203,雲林縣斗六市
強盜,1090205,桃園市蘆竹區
強盜,1090207,桃園市觀音區
強盜,1090208,雲林縣斗六市
強盜,1090209,台中市西屯區
強盜,1090211,新北市板橋區
強盜,1090212,桃園市八德區
強盜,1090212,台中市太平區
強盜,1090215,台中市南屯區
強盜,1090216,台中市豐原區
強盜,1090218,高雄市前鎮區
強盜,1090219,台北市士林區
強盜,1090220,桃園市龍潭區
強盜,1090220,花蓮縣萬榮鄉
強盜,1090220,彰化縣田尾鄉
強盜,1090221,台北市大同區
強盜,1090223,新北市新莊區
強盜,1090302,高雄市橋頭區
強盜,1090305,桃園市平鎮區
強盜,1090306,台南市歸仁區
強盜,1090323,雲林縣斗六市
強盜,1090328,桃園市中壢區
強盜,1090329,宜蘭縣羅東鎮
強盜,1090330,台北市中山區
搶奪,1090106,新北市三重區
搶奪,1090106,新竹市東區
搶奪,1090113,新北市中和區
搶奪,1090116,新北市五股區
搶奪,1090117,台南市東區
搶奪,1090117,台南市東區
搶奪,1090124,高雄市左營區
搶奪,1090124,台中市潭子區
搶奪,1090129,桃園市桃園區
搶奪,1090129,彰化縣伸港鄉
搶奪,1090202,台北市南港區
搶奪,1090210,台北市萬華區
搶奪,1090212,新北市土城區
搶奪,1090212,新北市泰山區
搶奪,1090213,嘉義市西區
搶奪,1090214,台南市中西區
搶奪,1090215,高雄市湖內區
搶奪,1090216,台北市萬華區
搶奪,1090216,新北市板橋區
搶奪,1090221,新北市蘆洲區
搶奪,1090222,台北市內湖區
搶奪,1090223,台北市文山區
搶奪,1090224,高雄市楠梓區
搶奪,1090229,高雄市鳳山區
搶奪,1090301,台中市潭子區
搶奪,1090303,高雄市新興區
搶奪,1090304,高雄市前鎮區
搶奪,1090306,台南市永康區
搶奪,1090307,桃園市龜山區
搶奪,1090308,台南市北區
搶奪,1090308,新北市永和區
搶奪,1090309,雲林縣元長鄉
搶奪,1090317,高雄市彌陀區
搶奪,1090323,高雄市前鎮區
搶奪,1090323,高雄市前鎮區
搶奪,1090323,高雄市三民區
搶奪,1090325,雲林縣麥寮鄉
搶奪,1090326,台南市山上區
機車竊盜,1090101,台南市
機車竊盜,1090101,新竹市
機車竊盜,1090101,新北市三峽區
機車竊盜,1090101,台中市
機車竊盜,1090101,苗栗縣
機車竊盜,1090101,新北市
機車竊盜,1090101,台中市
機車竊盜,1090101,新北市蘆洲區
機車竊盜,1090101,台中市
機車竊盜,1090101,台南市仁德區
機車竊盜,1090101,屏東縣萬巒鄉
機車竊盜,1090101,桃園市中壢區
機車竊盜,1090101,台南市
機車竊盜,1090101,新北市
機車竊盜,1090101,台北市中山區
機車竊盜,1090101,花蓮縣花蓮市
機車竊盜,1090102,桃園市桃園區
機車竊盜,1090102,桃園市
機車竊盜,1090102,桃園市中壢區
機車竊盜,1090102,新北市
機車竊盜,1090102,屏東縣
機車竊盜,1090102,桃園市
機車竊盜,1090102,台北市士林區
機車竊盜,1090102,新竹縣
機車竊盜,1090102,南投縣
機車竊盜,1090102,苗栗縣後龍鎮
機車竊盜,1090102,新北市
機車竊盜,1090102,桃園市
機車竊盜,1090102,桃園市
機車竊盜,1090102,台北市萬華區
機車竊盜,1090103,新竹市
機車竊盜,1090103,台南市
機車竊盜,1090103,新北市板橋區
機車竊盜,1090103,台北市
機車竊盜,1090103,新北市
機車竊盜,1090103,台南市安平區
機車竊盜,1090103,桃園市
機車竊盜,1090103,台北市中正區
機車竊盜,1090103,高雄市
機車竊盜,1090103,雲林縣
機車竊盜,1090104,新北市新莊區
機車竊盜,1090104,台中市
機車竊盜,1090104,台中市
機車竊盜,1090104,高雄市
機車竊盜,1090104,宜蘭縣大同鄉
機車竊盜,1090104,苗栗縣苗栗市
機車竊盜,1090104,宜蘭縣大同鄉
機車竊盜,1090104,新北市新店區
機車竊盜,1090104,新北市淡水區
機車竊盜,1090104,台中市
機車竊盜,1090104,台中市南屯區
機車竊盜,1090104,新北市
機車竊盜,1090104,新竹市
機車竊盜,1090104,台南市
機車竊盜,1090104,彰化縣鹿港鎮
機車竊盜,1090104,新竹市
機車竊盜,1090104,桃園市中壢區
機車竊盜,1090104,台中市北區
機車竊盜,1090104,台北市北投區
機車竊盜,1090104,彰化縣福興鄉
機車竊盜,1090105,新北市
機車竊盜,1090105,新竹縣
機車竊盜,1090105,台中市
機車竊盜,1090105,新北市新莊區
機車竊盜,1090105,桃園市
機車竊盜,1090105,屏東縣
機車竊盜,1090105,桃園市楊梅區
機車竊盜,1090105,屏東縣
機車竊盜,1090105,新北市
機車竊盜,1090105,新北市板橋區
機車竊盜,1090105,台北市北投區
機車竊盜,1090105,台北市信義區
機車竊盜,1090105,高雄市鹽埕區
機車竊盜,1090105,新北市板橋區
機車竊盜,1090105,苗栗縣
機車竊盜,1090105,台中市
機車竊盜,1090105,台北市
機車竊盜,1090105,桃園市
機車竊盜,1090105,桃園市龜山區
機車竊盜,1090105,桃園市桃園區
機車竊盜,1090105,台中市東區
機車竊盜,1090105,新北市
機車竊盜,1090106,嘉義縣
機車竊盜,1090106,新北市
機車竊盜,1090106,台南市
機車竊盜,1090106,台中市
機車竊盜,1090106,台東縣
機車竊盜,1090106,台北市北投區
機車竊盜,1090106,台中市
機車竊盜,1090106,台中市
機車竊盜,1090106,彰化縣田中鎮
機車竊盜,1090106,台北市北投區
機車竊盜,1090106,新竹縣
機車竊盜,1090106,新北市
機車竊盜,1090107,桃園市
機車竊盜,1090107,新北市
機車竊盜,1090107,台中市
機車竊盜,1090107,台中市北屯區
機車竊盜,1090107,桃園市
機車竊盜,1090107,新竹縣
機車竊盜,1090107,台北市文山區
機車竊盜,1090107,新北市
機車竊盜,1090107,高雄市湖內區
機車竊盜,1090107,桃園市
機車竊盜,1090108,台中市
機車竊盜,1090108,高雄市苓雅區
機車竊盜,1090108,嘉義市西區
機車竊盜,1090108,桃園市
機車竊盜,1090108,新北市鶯歌區
機車竊盜,1090108,新北市
機車竊盜,1090108,新竹市
機車竊盜,1090108,台中市
機車竊盜,1090108,屏東縣
機車竊盜,1090108,新北市
機車竊盜,1090108,桃園市
機車竊盜,1090108,桃園市蘆竹區
機車竊盜,1090108,新北市
機車竊盜,1090108,桃園市
機車竊盜,1090109,高雄市苓雅區
機車竊盜,1090109,新竹市
機車竊盜,1090109,南投縣
機車竊盜,1090109,南投縣
機車竊盜,1090109,嘉義市
機車竊盜,1090109,台北市中正區
機車竊盜,1090109,新竹縣
機車竊盜,1090109,桃園市
機車竊盜,1090109,新北市
機車竊盜,1090109,台中市
機車竊盜,1090109,台中市
機車竊盜,1090109,高雄市左營區
機車竊盜,1090109,台中市
機車竊盜,1090109,台中市后里區
機車竊盜,1090109,桃園市
機車竊盜,1090109,苗栗縣
機車竊盜,1090109,高雄市
機車竊盜,1090109,桃園市桃園區
機車竊盜,1090109,桃園市
機車竊盜,1090109,高雄市
機車竊盜,1090110,新竹市
機車竊盜,1090110,高雄市
機車竊盜,1090110,新北市中和區
機車竊盜,1090110,南投縣
機車竊盜,1090110,台中市
機車竊盜,1090110,新北市
機車竊盜,1090110,桃園市
機車竊盜,1090110,南投縣
機車竊盜,1090110,桃園市
機車竊盜,1090110,台南市仁德區
機車竊盜,1090110,新北市淡水區
機車竊盜,1090110,桃園市
機車竊盜,1090110,桃園市
機車竊盜,1090110,新北市
機車竊盜,1090110,新竹縣竹北市
機車竊盜,1090110,台南市
機車竊盜,1090110,台南市
機車竊盜,1090111,新北市
機車竊盜,1090111,宜蘭縣
機車竊盜,1090111,桃園市
機車竊盜,1090111,新北市
機車竊盜,1090111,桃園市
機車竊盜,1090111,宜蘭縣礁溪鄉
機車竊盜,1090111,新北市中和區
機車竊盜,1090111,高雄市
機車竊盜,1090111,新北市泰山區
機車竊盜,1090111,南投縣竹山鎮
機車竊盜,1090111,台南市
機車竊盜,1090111,桃園市
機車竊盜,1090111,新竹市
機車竊盜,1090112,台中市
機車竊盜,1090112,桃園市
機車竊盜,1090112,桃園市
機車竊盜,1090112,台中市西屯區
機車竊盜,1090112,台中市
機車竊盜,1090112,台南市安南區
機車竊盜,1090112,台中市
機車竊盜,1090112,台中市
機車竊盜,1090112,花蓮縣新城鄉
機車竊盜,1090112,桃園市
機車竊盜,1090112,台中市
機車竊盜,1090113,高雄市
機車竊盜,1090113,高雄市
機車竊盜,1090113,屏東縣
機車竊盜,1090113,新北市
機車竊盜,1090113,苗栗縣頭份市
機車竊盜,1090113,桃園市
機車竊盜,1090113,桃園市
機車竊盜,1090113,桃園市桃園區
機車竊盜,1090113,桃園市桃園區
機車竊盜,1090113,新北市
機車竊盜,1090113,台北市
機車竊盜,1090113,彰化縣
機車竊盜,1090113,新北市
機車竊盜,1090113,桃園市龜山區
機車竊盜,1090113,高雄市
機車竊盜,1090113,基隆市七堵區
機車竊盜,1090113,新北市
機車竊盜,1090114,桃園市
機車竊盜,1090114,台北市中正區
機車竊盜,1090114,新竹縣
機車竊盜,1090114,桃園市中壢區
機車竊盜,1090114,台北市
機車竊盜,1090114,桃園市
機車竊盜,1090114,苗栗縣
機車竊盜,1090114,高雄市
機車竊盜,1090114,台中市
機車竊盜,1090114,新竹市東區
機車竊盜,1090114,新北市
機車竊盜,1090114,新北市
機車竊盜,1090114,台北市
機車竊盜,1090115,台北市
機車竊盜,1090115,新竹縣
機車竊盜,1090115,新北市
機車竊盜,1090115,台中市
機車竊盜,1090115,台南市官田區
機車竊盜,1090115,新竹市
機車竊盜,1090115,花蓮縣瑞穗鄉
機車竊盜,1090115,台北市
機車竊盜,1090115,新北市
機車竊盜,1090115,台南市中西區
機車竊盜,1090115,雲林縣
機車竊盜,1090115,高雄市苓雅區
機車竊盜,1090116,新竹縣
機車竊盜,1090116,台南市
機車竊盜,1090116,雲林縣斗六市
機車竊盜,1090116,新北市
機車竊盜,1090116,桃園市
機車竊盜,1090116,桃園市
機車竊盜,1090116,新北市
機車竊盜,1090116,高雄市
機車竊盜,1090116,苗栗縣
機車竊盜,1090116,新竹縣竹東鎮
機車竊盜,1090116,新竹縣
機車竊盜,1090116,新北市新莊區
機車竊盜,1090116,花蓮縣花蓮市
機車竊盜,1090117,雲林縣
機車竊盜,1090117,高雄市
機車竊盜,1090117,苗栗縣
機車竊盜,1090117,台北市
機車竊盜,1090117,苗栗縣
機車竊盜,1090117,台北市北投區
機車竊盜,1090117,台南市永康區
機車竊盜,1090117,苗栗縣
機車竊盜,1090117,新北市
機車竊盜,1090117,高雄市旗山區
機車竊盜,1090117,新北市
機車竊盜,1090118,台中市
機車竊盜,1090118,台南市
機車竊盜,1090118,新竹縣
機車竊盜,1090118,桃園市中壢區
機車竊盜,1090118,台中市東勢區
機車竊盜,1090118,新北市中和區
機車竊盜,1090118,新北市
機車竊盜,1090118,新竹市東區
機車竊盜,1090118,屏東縣
機車竊盜,1090118,高雄市
機車竊盜,1090118,桃園市
機車竊盜,1090118,桃園市
機車竊盜,1090118,新北市
機車竊盜,1090118,雲林縣
機車竊盜,1090118,南投縣
機車竊盜,1090119,屏東縣滿州鄉
機車竊盜,1090119,高雄市
機車竊盜,1090119,台北市
機車竊盜,1090119,嘉義市
機車竊盜,1090119,台中市
機車竊盜,1090119,台南市
機車竊盜,1090119,台中市
機車竊盜,1090119,台北市大同區
機車竊盜,1090119,新北市新店區
機車竊盜,1090119,桃園市
機車竊盜,1090119,桃園市
機車竊盜,1090119,苗栗縣苗栗市
機車竊盜,1090119,台南市中西區
機車竊盜,1090119,高雄市
機車竊盜,1090119,桃園市
機車竊盜,1090119,台北市中山區
機車竊盜,1090120,高雄市
機車竊盜,1090120,新北市土城區
機車竊盜,1090120,高雄市大寮區
機車竊盜,1090120,台東縣海端鄉
機車竊盜,1090120,新竹縣
機車竊盜,1090120,台東縣海端鄉
機車竊盜,1090120,屏東縣屏東市
機車竊盜,1090120,台南市
機車竊盜,1090120,高雄市楠梓區
機車竊盜,1090120,苗栗縣
機車竊盜,1090120,桃園市
機車竊盜,1090120,台北市
機車竊盜,1090120,高雄市
機車竊盜,1090120,桃園市
機車竊盜,1090120,台南市
機車竊盜,1090120,台中市
機車竊盜,1090121,南投縣埔里鎮
機車竊盜,1090121,雲林縣
機車竊盜,1090121,桃園市中壢區
機車竊盜,1090121,屏東縣屏東市
機車竊盜,1090121,新北市三重區
機車竊盜,1090121,屏東縣屏東市
機車竊盜,1090121,新竹市
機車竊盜,1090121,高雄市
機車竊盜,1090121,新北市新莊區
機車竊盜,1090121,新竹縣
機車竊盜,1090121,苗栗縣後龍鎮
機車竊盜,1090121,雲林縣虎尾鎮
機車竊盜,1090121,高雄市
機車竊盜,1090122,新竹市
機車竊盜,1090122,桃園市
機車竊盜,1090122,台中市
機車竊盜,1090122,台北市大安區
機車竊盜,1090122,新北市鶯歌區
機車竊盜,1090122,高雄市
機車竊盜,1090122,高雄市
機車竊盜,1090122,新北市永和區
機車竊盜,1090122,台中市大里區
機車竊盜,1090122,新竹縣
機車竊盜,1090122,桃園市
機車竊盜,1090122,桃園市
機車竊盜,1090122,新北市
機車竊盜,1090122,新北市
機車竊盜,1090122,桃園市
機車竊盜,1090122,桃園市
機車竊盜,1090122,屏東縣屏東市
機車竊盜,1090123,桃園市
機車竊盜,1090123,新北市泰山區
機車竊盜,1090123,新北市
機車竊盜,1090123,台中市
機車竊盜,1090123,宜蘭縣羅東鎮
機車竊盜,1090123,新北市中和區
機車竊盜,1090123,新北市
機車竊盜,1090123,高雄市
機車竊盜,1090123,桃園市
機車竊盜,1090123,新北市泰山區
機車竊盜,1090123,桃園市
機車竊盜,1090123,桃園市
機車竊盜,1090123,新北市
機車竊盜,1090123,宜蘭縣
機車竊盜,1090123,新北市泰山區
機車竊盜,1090123,台南市
